Id,Name,Gender,Species,Blood-Type,Eye Color,House,Wand,Patronus
50,Bellatrix Lestrange,Female,Human,Pure-blood,None,Slytherin,"12¾"" Walnut dragon heartstring",None
51,Dolores Jane Umbridge,Female,Human,Half-blood,None,Slytherin,"8"" Birch dragon heartstring",Cat
52,Horace Eugene Flaccus Slughorn,None,Human,Pure-blood or half-blood,Gooseberry,Slytherin,"10¼"" Cedar dragon heartstring fairly flexible",Non-corporeal
53,Lucius Malfoy,Male,Human,Pure-blood,Grey,Slytherin,Elm and dragon heartstring,None
54,Narcissa Malfoy,Female,Human,Pure-blood,Blue,Slytherin,None,None
55,Regulus Arcturus Black,Male,Human,Pure-blood,None,Slytherin,None,Non-corporeal
56,Pansy Parkinson,Female,Human,Pure-blood or half-blood,None,Slytherin,None,None
57,Blaise Zabini,Male,Human,Pure-blood or half-blood,Brown,Slytherin,None,None
58,Tom Marvolo Riddle,Male,Human,Half-blood,Scarlet,Slytherin,"13½"" Yew phoenix feather core",None
59,Theodore Nott,Male,Human,Pure-blood,None,Slytherin,None,None
60,Rodolphus Lestrange,Male,Human,Pure-blood,Dark,Slytherin,None,None
61,Millicent Bulstrode,Female,Human,Half-blood,None,Slytherin,None,None
62,Graham Montague,Male,Human,Pure-blood or half-blood,Brown,Slytherin,None,None
63,Bloody Baron,Male,Ghost,Pure-blood or half-blood,None,Slytherin,None,None
64,Marcus Flint,Male,Human,Pure-blood or half-blood,None,Slytherin,None,None
65,Penelope Clearwater,Female,Human,Muggle-born or half-blood[,None,Ravenclaw,None,Non-corporeal
66,Roger Davies,Male,Human,None,Dark,Ravenclaw,None,None
67,Marcus Belby,Male,Human,Pure-blood or half-blood,Dark,Ravenclaw,None,None
68,Salazar Slytherin,Male,Human,Pure-blood,Dark,Slytherin,"snakewood, Basilisk horn",None
69,Godric Gryffindor,Male,Human,Pure-blood or half-blood,Green,Gryffindor,None,None
70,Rowena Ravenclaw,Female,Human,Pure-blood or half-blood,Dark,Ravenclaw,None,None
71,Nicholas de Mimsy-Porpington,Male,Ghost,None,None,Gryffindor,None,None
72,Cuthbert Binns,Male,Ghost,None,Black,None,None,None
73,Barty Crouch Jr.,Male,Human,Pure-blood or half-blood,"Pale, freckled",None,None,None
74,Charity Burbage,Female,Human,Pure-blood or half-blood,None,None,None,Non-corporeal
75,Firenze,Male,Centaur,None,Astonishingly blue,None,None,None
76,Alecto Carrow,Female,Human,Pure-blood or half-blood,None,Slytherin,None,None
77,Amycus Carrow,Male,Human,Pure-blood or half-blood,None,Slytherin,None,None
78,Helga Hufflepuff,Female,Human,Pure-blood or half-blood,Blue,Hufflepuff,None,None
79,Fat Friar,Male,Ghost,None,None,Hufflepuff,None,None
80,Helena Ravenclaw,Female,Ghost,Pure-blood or half-blood,Grey,Ravenclaw,None,None
81,Pomona Sprout,Female,Human,Pure-blood or half-blood,Grey,Hufflepuff,None,Non-corporeal
82,Newton Scamander,Male,Human,Pure-blood or half-blood,Blue,Hufflepuff,None,None
83,Cedric Diggory,Male,Human,Pure-blood,Grey,Hufflepuff,"12¼"", Ash, unicorn hair",None
84,Justin Finch-Fletchley,Male,Human,Muggle-born,None,Hufflepuff,None,Non-corporeal
85,Zacharias Smith,Male,Human,Pure-blood or half-blood,None,Hufflepuff,None,None
86,Hannah Abbott,Female,Human,Half-blood,Brown,Hufflepuff,None,Non-corporeal
87,Ernest Macmillan,Male,Human,Pure-blood,None,Hufflepuff,None,Boar
88,Susan Bones,Female,Human,Half-blood,None,Hufflepuff,None,None
89,Dennis Creevey,Male,Human,Muggle-born,None,Gryffindor,None,None
90,Albus Severus Potter,Male,Human,Half-blood,Bright green,Slytherin,None,None
91,Scorpius Hyperion Malfoy,Male,Human,Pure-blood,Grey,Slytherin,None,None
92,Edward Remus Lupin,Male,Human,Half-blood,Variable,Hufflepuff,None,None
93,James Sirius Potter,Male,Human,Half-blood,None,Gryffindor,None,None
94,Rose Granger-Weasley,Female,Human,Half-blood,None,Gryffindor,None,None
95,Argus Filch,Male,Human,Squib,Pale,None,None,None
96,Poppy Pomfrey,Female,Human,Pure-blood or half-blood,None,None,None,Non-corporeal
97,Rolanda Hooch,Female,Human,None,Yellow,None,None,Non-corporeal
98,Irma Pince,Female,Human,None,None,None,None,Non-corporeal
99,Aurora Sinistra,Female,Human,Pure-blood or half-blood,Dark,None,None,None
100,Septima Vector,Female,Human,None,None,None,None,None
101,Wilhelmina Grubbly-Plank,Female,Human,None,None,None,None,Non-corporeal
